OBJECTID_1,SABL_PWSID,BOUNDARY_TYPE,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,ACTIVITY_STATUS_CD,ACTIVITY_DATE,OWNER_TYPE_CODE,COUNTY,POPULATION,REGULATING_AGENCY,FEDERAL_CLASSIFICATION,STATE_CLASSIFICATION,ADDR_LINE_ONE_TXT,ADDR_LINE_TWO_TXT,ADDRESS_CITY_NAME,ADDRESS_STATE_CODE,ADDRESS_ZIP_CODE,SERVICE_CONNECTIONS,GLOBALID,AC_PHONE_NUMBER,AC_EMAIL,BOUNDARY_FILETYPE,DT_VERIFIED,VERIFIED_STATUS,VERIFIED_NAME,VERIFIED_TYPE,Shape__Area,Shape__Length
3720203,CA2010800,Water Service Area,CA2010800,CENTRAL CA WOMENS FACILITY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,147,A ,1990/08/03 07:00:00+00,S ,MADERA,2183,DISTRICT 11 - MERCED,COMMUNITY,COMMUNITY,23370 ROAD 22,P.O. BOX 1501,CHOWCHILLA,CA  ,93610,656,{A0AB7ACC-7C3D-450B-BB13-93BAAED330F6},559-665-5531                  ,elias.montoya@cdcr.ca.gov,WBT Tool,,Not Verified,,,4212049.41406235,8184.97997757371
3720205,CA1400504,Water Service Area,CA1400504,BOULDER CREEK TRAILER PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,151,A ,2015/04/30 07:00:00+00,P ,INYO,66,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,LONE PINE,CA  ,93545,20,{B1362DE7-D697-4BB9-BB3D-BA476084167A},760-876-8700                  ,kbhakta@jhkholdingsllc.com,WBT Tool,,Not Verified,,,150883.93833318,1612.20967670653
3720206,CA5410801,Water Service Area,CA5410801,PORTERVILLE DEVELOPMENTAL CENTER,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,152,A ,1976/01/01 08:00:00+00,S ,TULARE,1281,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,26501 AVENUE 140, ,PORTERVILLE,CA  ,93258,99,{51830FE5-941D-4C2E-B314-3A9D0E4367FA},559-782-2900                  ,dennis.haworth@pdc.dds.ca.gov,WBT Tool,,Not Verified,,,1698183.58472399,5894.00024410646
3720207,CA4901143,Water Service Area,CA4901143,SENECA FAMILY OF AGENCIES,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,153,A ,1990/03/06 08:00:00+00,P ,SONOMA,30,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,365 Kuck Lane, ,PETALUMA,CA  ,94952,5,{EB46DAFC-0D9B-4F88-9BF4-63297C215B41},510-377-7114                  ,SHANE_PATTERSON@SENECACENTER.ORG,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,22074.70966904,623.960242486546
3720208,CA5400631,Water Service Area,CA5400631,LINNELL FARM LABOR CENTER,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,154,A ,2014/04/28 07:00:00+00,P ,TULARE,694,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,1436-3 N. MARIPOSA AVE., ,VISALIA,CA  ,93292,195,{DB6C355F-7C57-43DB-8BB5-26A4D998D2A9},559-627-3700                  ,ken@hatc.net,WBT Tool,,Not Verified,,,447615.389390685,2747.04862127634
3720209,CA3301943,Water Service Area,CA3301943,PLANTATION ON THE LAKE PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,155,A ,1986/03/28 08:00:00+00,P ,RIVERSIDE,897,DISTRICT 20 - RIVERSIDE,COMMUNITY,COMMUNITY,10961 DESERT LAWN DRIVE, ,CALIMESA,CA  ,92320,581,{B4C1FD18-1F41-4394-8625-86AE9620C0A3},909-795-4503                  ,mgr@plantationonthelake.com,WBT Tool,,Not Verified,,,911455.26368533,3821.91292806598
3720210,CA0707617,Water Service Area,CA0707617,WILDWOOD ACRES RESORT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,156,A ,2016/05/10 07:00:00+00,P ,CONTRA COSTA,28,LPA37 - CONTRA COSTA COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1055 HUNSAKER CANYON RD, ,LAFAYETTE,CA  ,94549,1,{9EA2D3F8-DF13-49CE-97BB-AEBE64081827},925-283-2600                  ,accounts@wildwoodacres.com,WBT Tool,,Not Verified,,,14438.2923888,567.262932620431
3720211,CA4901206,Water Service Area,CA4901206,OVERSHINE WINE COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,157,A ,1994/01/21 08:00:00+00,P ,SONOMA,40,DISTRICT 25 - MARIN,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2201 Westside Road, ,HEALDSBURG,CA  ,95448,4,{9AE0DD39-40EC-4F80-8355-021A0EBC6AD6},707-490-2560                  ,Scott.loopstra@gmail.com,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,87747.209317745,1417.65454690449
3720212,CA2702180,Water Service Area,CA2702180,GRAVES SCHOOL WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,158,A ,1995/12/22 08:00:00+00,L ,MONTEREY,56,LPA57 - MONTEREY COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,15 MCFADDEN RD, ,SALINAS,CA  ,93908,1,{67510FAE-4E01-4C9E-BFCC-E0C93AAB16EA},831-422-6392                  ,mross@gravesschool.net,WBT Tool,,Not Verified,,,10653.445488335,451.520653559232
3720213,CA3710037,Water Service Area,CA3710037,PADRE DAM MWD,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,159,A ,1976/01/01 08:00:00+00,L ,SAN DIEGO,93859,DISTRICT 14 - SAN DIEGO,COMMUNITY,COMMUNITY,9300 Fanita Parkway, ,SANTEE,CA  ,92071,23277,{3A904E88-F603-4F9F-BFBB-A3E2F8AC500B},619-258-4673                  ,kswanson@padre.org,WBT Tool,,Not Verified,,,268963992.140024,168151.656503482
3720214,CA4810026,Water Service Area,CA4810026,SID - PEABODY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,160,A ,1999/08/30 07:00:00+00,L ,SOLANO,56,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,COMMUNITY,4958 PEABODY RD, ,FAIRFIELD,CA  ,94533,17,{BE683ACC-40B9-4CD2-B183-C08C425F58C8},707-455-4009                  ,ckeaten@sidwater.org,WBT Tool,,Not Verified,,,3036913.30989425,9613.89338537206
3720215,CA0202562,Water Service Area,CA0202562,SAND FLAT # 1,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,162,A ,1997/06/03 07:00:00+00,F ,ALPINE,25,LPA32 - ALPINE COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,PINECREST,CA  ,95364,1,{9ADB5AB6-5548-46C1-A4F2-02E309D81A2D},209-288-6335                  ,KATHRYN.BAKER@USDA.GOV,WBT Tool,,Not Verified,,,81047.20359652,1176.80949078251
3720217,CA4400710,Water Service Area,CA4400710,CAMP ST FRANCIS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,165,A ,2015/01/29 08:00:00+00,P ,SANTA CRUZ,57,LPA74 - SANTA CRUZ COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2320 Sumner Ave, ,APTOS,CA  ,95003,16,{58876146-F28E-4471-ABC2-784BC93224A4},831-684-1439                  ,office@campstfrancis.org,WBT Tool,,Not Verified,,,28434.37057033,834.730837589351
3720218,CA2702229,Water Service Area,CA2702229,MANZANITA PARK WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,166,A ,2016/08/01 07:00:00+00,L ,MONTEREY,302,LPA57 - MONTEREY COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,17100 Castroville Blvd., ,SALINAS,CA  ,93907,6,{477B5F1E-6F1B-4DA5-99B4-78B4B00348F2},831-755-5462                  ,MERKLEN@CO.MONTEREY.CA.US,WBT Tool,,Not Verified,,,2639528.16349425,13824.9087136607
3720219,CA0310005,Water Service Area,CA0310005,PINE GROVE COMM SERV DIST,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,167,A ,1976/01/01 08:00:00+00,L ,AMADOR,1141,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,19840 State Hwy 88, ,PINE GROVE,CA  ,95665,412,{60CEA2B5-5847-4A66-8402-64DE954E2022},209-296-7188                  ,pgcomser@volcano.net,WBT Tool,,Not Verified,,,29438611.6373524,31884.1363785656
3720220,CA1210007,Water Service Area,CA1210007,DEL ORO WATER CO-FERNDALE,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,169,A ,1976/01/01 08:00:00+00,P ,HUMBOLDT,1662,DISTRICT 01 - KLAMATH,COMMUNITY,COMMUNITY,DRAWER 5172,"995 EUGENE STREET, FERNDALE CA 95536",CHICO,CA  ,95927,775,{CBDC40AE-B7C6-4889-8B60-B75A499677B7},530-809-3970                  ,management@delorowater.com,WBT Tool,,Not Verified,,,8989724.26418216,17924.2274219443
3720221,CA1400506,Water Service Area,CA1400506,HIGH SIERRA WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,170,A ,2015/04/30 07:00:00+00,P ,INYO,200,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,BISHOP,CA  ,93514,49,{582BF636-7739-4135-99A8-4160416CE7A2},530-318-9433                  ,forevermors@gmail.com,WBT Tool,,Not Verified,,,32846.10411457,805.079606412617
3720222,CA1200793,Water Service Area,CA1200793,MOONSTONE BEACH TRINIDAD,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,171,A ,1985/06/21 07:00:00+00,P ,HUMBOLDT,125,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,100 MOONSTONE BEACH RD.,100 MOONSTONE BEACH RD.,TRINIDAD,CA  ,95570,1,{98E277DA-015F-423F-87C9-6B3A2B500D84},707-616-7102                  ,stacie@moonstone-beach.com,WBT Tool,,Not Verified,,,10503.10460216,461.281182662061
3720223,CA2702679,Water Service Area,CA2702679,AMERICAN LEGION #593 WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,172,A ,2016/08/01 07:00:00+00,P ,MONTEREY,25,LPA57 - MONTEREY COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,8300 Prunedale Road, ,SALINAS,CA  ,93907,2,{921DE140-27FC-4541-91F4-EB925BA72FF8},831-794-7942                  ,Mikecabael@att.net,WBT Tool,,Not Verified,,,23102.47449312,710.961414711384
3720224,CA0810303,Water Service Area,CA0810303,JEDEDIAH SMITH STATE PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,174,A ,1976/01/01 08:00:00+00,S ,DEL NORTE,2208,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1375 ELK VALLEY RD.,1440 HWY 199,CRESCENT CITY,CA  ,95531,2,{34A48499-DD6E-4F95-AF28-7D4D6D775E73},707-465-7386                  ,john.orozco@parks.ca.gov,WBT Tool,,Not Verified,,,111393228.273567,81247.4741932397
3720225,CA1400037,Water Service Area,CA1400037,FOOTHILL MOBILE HOME PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,175,A ,2015/04/30 07:00:00+00,P ,INYO,49,DISTRICT 27 - MOJAVE,COMMUNITY,COMMUNITY, , ,LONE PINE,CA  ,93545,48,{A33574A7-A7AD-4328-A664-D2D1C175E733},760-876-4120                  ,kevin@lpmhrv.com,WBT Tool,,Not Verified,,,57940.15791494,1247.80100725097
3720226,CA3700041,Water Service Area,CA3700041,BARRETT LAKE MH AND RV LLC,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,178,A ,2016/08/02 07:00:00+00,P ,SAN DIEGO,300,DISTRICT 26 - IMPERIAL,COMMUNITY,COMMUNITY,1250 Barrett Lake Rd, ,DULZURA,CA  ,91917,102,{4C92E62D-C501-46A5-985E-3194B351C0B9},619-631-0133                  ,anthonymwindle@yahoo.com,WBT Tool,,Not Verified,,,119771.04906358,1383.00417303899
3720227,CA3910020,Water Service Area,CA3910020,STOCKTON VERDE MOBILE HOME PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,179,A ,1976/01/01 08:00:00+00,P ,SAN JOAQUIN,711,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,4900 CA-99, ,STOCKTON,CA  ,95212,293,{28491A30-96B0-44FC-B95E-688A95C09EA8},209-931-4512                  ,stocktonverdemanager@gmail.com,WBT Tool,,Not Verified,,,495965.178960615,3056.005339737
3720228,CA3900927,Water Service Area,CA3900927,SPRING CREEK ESTATES PWS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,180,A ,2016/08/08 07:00:00+00,L ,SAN JOAQUIN,119,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,16306 S MILGEO RD, ,RIPON,CA  ,95366,36,{1C2478CA-E4EB-420B-B5A3-6C089E7C62DF},209-468-3090                  ,bguzman@sjgov.org,WBT Tool,,Not Verified,,,90472.02857398,1601.97165412364
3720229,CA3900586,Water Service Area,CA3900586,B&G MOBILE HOME PARK LLC WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,181,A ,2016/08/08 07:00:00+00,P ,SAN JOAQUIN,50,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,24064 N HWY 99, ,ACAMPO,CA  ,95220,22,{6E9BC58F-1FF0-4F8B-A063-7460C4EE7863},209-368-0433                  ,bgmobilehomepark@gmail.com,WBT Tool,,Not Verified,,,14541.767467315,458.083307984537
3720230,CA1000003,Water Service Area,CA1000003,BEAR CREEK WATER IMPROVEMENT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,182,A ,1979/03/22 08:00:00+00,P ,FRESNO,100,DISTRICT 23 - FRESNO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,HUNTINGTON LAKE AT BEAR C, ,HUNTINGTON LAKE,CA  ,93629,53,{3529DE21-206B-4AF6-98F1-A582260BBC3A},559-804-7600                  ,cindyfelts@hotmail.com,WBT Tool,,Not Verified,,,597761.652847975,4369.91097455151
3720232,CA1400088,Water Service Area,CA1400088,DELIGHT'S HOT SPRINGS RESORT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,188,A ,2015/04/30 07:00:00+00,P ,INYO,58,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,TECOPA,CA  ,92389,72,{3BA39149-B951-44CE-A4C4-94D447AF20B3},760-852-4343                  ,SpencMcNeal@gmail.com,WBT Tool,,Not Verified,,,243056.325627935,2007.89818926273
3720233,CA5800814,Water Service Area,CA5800814,BULLARD'S BAR REC FAC WTR SYS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,189,A ,2021/07/28 07:00:00+00,P ,YUBA,2208,LPA88 - YUBA COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,BULLARDS BAR RESERVOIR, ,CAMPTONVILLE,CA  ,95922,12,{1F0BD455-6356-4CC1-ABDA-383EDB824C46},530-740-7060                  ,bstrawmier@yubawater.org,WBT Tool,,Not Verified,,,6958588.35636142,10600.0172241863
3720234,CA5200534,Water Service Area,CA5200534,PASKENTA COMM. SERVICES DIST.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,190,A ,2001/08/16 07:00:00+00,P ,TEHAMA,237,DISTRICT 21 - VALLEY,COMMUNITY,COMMUNITY,P.O. Box 182, ,PASKENTA,CA  ,96074,72,{8A5280EA-E4A8-46B2-AB01-6603546C7CF7},530-833-5480                  ,paskentawaterdistrict@yahoo.com,WBT Tool,,Not Verified,,,2014883.06025649,7509.85899090626
3720235,CA3010079,Water Service Area,CA3010079,EL TORO WATER DISTRICT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,191,A ,1976/01/01 08:00:00+00,L ,ORANGE,51800,DISTRICT 08 - SANTA ANA,COMMUNITY,COMMUNITY,24251 LOS ALISOS BOULEVARD, ,LAKE FOREST,CA  ,92630,9534,{A390DF27-A729-45FE-9116-9C8EC8C33CCF},949-837-7050                  ,DCAFFERTY@ETWD.COM,WBT Tool,,Not Verified,,,30002917.2156955,45484.9172138361
3720236,CA4400711,Water Service Area,CA4400711,CAMP CHESEBROUGH,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,192,A ,2015/01/29 08:00:00+00,P ,SANTA CRUZ,155,LPA74 - SANTA CRUZ COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,26005 Highway 9, ,LOS GATOS,CA  ,95030,5,{5FB424B4-118D-4CE1-BF5C-DC28451A6AA3},408-638-8314                  ,michael.wilson@scouting.org,WBT Tool,,Not Verified,,,1440.076206365,145.890760026759
3720238,CA2300606,Water Service Area,CA2300606,LAKE VIEW MUTUAL WATER CO.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,194,A ,2019/09/09 07:00:00+00,P ,MENDOCINO,90,DISTRICT 03 - MENDOCINO,COMMUNITY,COMMUNITY,4950 BLACK BART TRAIL, ,REDWOOD VALLEY,CA  ,95470,29,{E5C91A65-17D9-4A6D-B9EA-A8110AE88FCA},707-972-1187                  ,ronhoughton123@icloud.com,WBT Tool,,Not Verified,,,2157578.90776451,8264.24417800006
3720239,CA4901287,Water Service Area,CA4901287,ROCHIOLI WINERY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,195,A ,1976/01/01 08:00:00+00,P ,SONOMA,26,DISTRICT 25 - MARIN,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,6192 Westside Road, ,HEALDSBURG,CA  ,95448,4,{D6A2B7C8-7244-446C-A512-8306BF7A0B38},707-433-2305                  ,rochioli@aol.com,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,430499.615233055,2671.5686804327
3720240,CA2810007,Water Service Area,CA2810007,TOWN OF YOUNTVILLE,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,197,A ,1976/01/01 08:00:00+00,L ,NAPA,2787,DISTRICT 03 - MENDOCINO,COMMUNITY,COMMUNITY,6550 YOUNT ST, ,YOUNTVILLE,CA  ,94599,844,{A8179061-FC16-4A51-A20F-DAA3A375ECDF},707-944-8851                  ,jferons@yville.com,WBT Tool,,Not Verified,,,6503798.20058998,18539.3150320859
3720241,CA5800823,Water Service Area,CA5800823,RISELEN PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1,A ,2016/07/28 07:00:00+00,P ,YUBA,100,LPA88 - YUBA COUNTY,COMMUNITY,COMMUNITY,10077 MARYSVILLE RD, ,DOBBINS,CA  ,95703,35,{66EFA4E4-796C-4CEE-9366-3DDF52596FF0},916-893-3498                  ,dylan.atlasgsi@gmail.com,WBT Tool,,Not Verified,,,56656.91010004,1102.62640940483
3720242,CA4000501,Water Service Area,CA4000501,HALCYON WATER SYSTEM,EPA\GISService,2024/11/08 08:37:00+00,EPA\GISService,2024/11/08 08:37:00+00,40025,A ,2016/08/08 07:00:00+00,P ,SAN LUIS OBISPO,105,LPA70 - SAN LUIS OBISPO COUNTY,COMMUNITY,COMMUNITY,906 HALCYON ROAD, ,HALCYON,CA  ,93421,46,{6D316B69-F67C-48B1-A9A1-9999CA9D3DEA},805-249-8718                  ,accounts@templeofthepeople.org,Shapefile,2024/11/07 08:00:00+00,Verified,J. Bird,State Board staff member,782372.487801995,4181.38075494656
